Serial No,movie_id,movie_name,year,genre,overview,director,cast,poster_url,rating,votes
1858,tt6468814,Touch Chesi Chudu,2018,"Action, Comedy, Crime",A peaceful man completely devoted to his family finds his violent past resurfacing.,Vikram Sirikonda,"Ravi Teja, Raashi Khanna, Seerat Kapoor, Murli Sharma",https://m.media-amazon.com/images/M/MV5BMzM3ZmYyYTgtNGFkNi00ZWU5LTk5YmItMDc4MjViZTdmNzIxXkEyXkFqcGc@._V1_.jpg,4.7,1211
1859,tt0175423,Aap Ki Kasam,1974,"Romance, Drama",Rajesh Khanna plays Mumtaz's jealous husband who begins to doubt her fidelity when his best friend Sanjeev Kumar enters their lives. She is unable to convince Rajesh Khanna that she loves ...                See full summary »,J. Om Prakash,"Rajesh Khanna, Mumtaz Askari, Sanjeev Kumar, Rehman Khan",https://m.media-amazon.com/images/M/MV5BMmZhMDIwYmYtZmI5NC00YTlkLWE3MTUtMjQ1MWI0ZTFkN2MwXkEyXkFqcGc@._V1_.jpg,7,536
1860,tt3483646,Bewakoofiyaan,2014,"Comedy, Drama, Romance",Bewakoofiyaan is a slice-of life comedy when recession strikes and the lack of money tests love. Is living on love and fresh air really possible?,Nupur Asthana,"Ayushmann Khurrana, Sonam Kapoor, Rishi Kapoor, Swedha Singh",https://m.media-amazon.com/images/M/MV5BNWQ0M2M0ODYtMGUxNi00M2FiLThhMTMtMTIyZTZmNDYxYTM1XkEyXkFqcGc@._V1_.jpg,5.5,4632
1861,tt0142431,Khamoshi,1970,"Drama, Romance",Tale of a female nurse trying to maintain a balance between her professional life and her emotions who falls victim to the natural feeling of love and compassion when a person takes care of another person.,Asit Sen,"Rajesh Khanna, Waheeda Rehman, Nasir Hussain, Snehlata",https://m.media-amazon.com/images/M/MV5BNDEzN2M5ZjctZDVkMC00MjY0LWE2MTEtMDY3NTI5MTU3NDdmXkEyXkFqcGc@._V1_.jpg,7.7,672
1862,tt0102835,Sanam Bewafa,1991,"Drama, Romance","Salman falls in love with Ruksar but their fathers, despite being neighbours, are sworn enemies. The couple end up marrying but they are shocked when they finally discover the reason why their fathers allow the marriage to take place.",Saawan Kumar Tak,"Salman Khan, Chandni, Kanchan, Pran Sikand",https://m.media-amazon.com/images/M/MV5BYTJhNmQ3MGItMzdiNi00ZWQ4LTkxNzItYjk0ZTU2NzVhNzE4XkEyXkFqcGc@._V1_.jpg,5.2,1552
1863,tt21386020,Rocket Gang,2022,"Comedy, Drama, Fantasy","A roller-coaster ride of friendship, camaraderie, love and dance as the team of 5 children step into the biggest dance competition to accomplish their dream.",Bosco Martis,"Aditya Seal, Nikita Dutta, Jason Tham, Mokshada Jaikhani",https://m.media-amazon.com/images/M/MV5BNTM3M2YzYjAtYmE0ZC00OTM3LWJiNjctNDNiMTg1OWI0MjQyXkEyXkFqcGc@._V1_.jpg,3.9,172
1864,tt16169406,Andaman,2021,Drama,Andaman is an inspirational social drama about a quarantine centre in an unprivileged village.,Smita Singh,"Vishal Agiran, Arav Aryavanshi, Arav Aryavanshi, Dinesh Awasthi",https://m.media-amazon.com/images/M/MV5BYWMzYjhjZTYtMjQxOC00OWE4LTlmYjgtYzRhNWNlMjQ3NGQyXkEyXkFqcGc@._V1_.jpg,8.6,382
1865,tt0284456,Samadhi,1972,"Action, Drama, Romance","Lakhan Singh gives his life of a Dacoit and lives a happy life with his wife Champa when his son Jaswant becomes three years old, Champa becomes ill with cancer and circumstances force him to be again a Dacoit.",Prakash Mehra,"Asha Parekh, Dharmendra, Jaya Bachchan, Tun Tun",https://m.media-amazon.com/images/M/MV5BYWIxNzMzYzUtYzBhNS00N2U3LWE1ZDQtNmM3YWY0MzdiNGM2XkEyXkFqcGc@._V1_.jpg,7.1,161
1866,tt0189633,Kareeb,1998,"Drama, Romance","Birju is a young man who lives with his mom, dad, elder brother, Bhabhi and nephew in an upper middle class home. His father would like him to work as well as accept some responsibility, ...                See full summary »",Vidhu Vinod Chopra,"Bobby Deol, Shabana Raza, Abhay Chopra, Moushumi Chatterjee",https://m.media-amazon.com/images/M/MV5BMTVkYTAxNjQtNGNlNy00YmU0LTkwMGQtMzc0NzkzMzYzYjVmXkEyXkFqcGc@._V1_.jpg,6.5,1292
1867,tt7172308,Kuldip Patwal: I Didn't Do It!,2017,"Crime, Drama, Mystery","A commoner is thrown into a jail cell on suspicion of murder of a local politician. Can he survive the State entrapment, or did he actually do it?",Remy Kohli,"Deepak Dobriyal, Gulshan Devaiah, Raima Sen, Parvin Dabas",https://m.media-amazon.com/images/M/MV5BYjI4ODc5MGUtMTJhZC00MjI2LWE2NTMtYzI4YmIzZGE5MGYyXkEyXkFqcGc@._V1_.jpg,6.4,697
1868,tt0396563,Dil Ne Jise Apna Kaha,2004,"Drama, Romance","A wealthy man working in an advertising agency and a dedicated doctor fall in love and marry. When his wife dies, the devastated man must fulfil her last wishes.",Atul Agnihotri,"Salman Khan, Preity G Zinta, Bhoomika Chawla, Rati Agnihotri",https://m.media-amazon.com/images/M/MV5BNDFkZDY2YjctNjg5ZS00M2MwLWFiNzYtODRiOTliNzIwNzY4XkEyXkFqcGc@._V1_.jpg,4.4,2099
1869,tt21391884,Pokhar Ke Dunu Paar,2022,Drama,"Amidst the 2020 Coronavirus Pandemic, Sumit and Priyanka, an eloped couple, return to the security of their hometown. While Priyanka feels uneasy in the suffocating familiarity of her town, Sumit immerses himself in his tribe of friends.",Parth Saurabh,"Abhinav Jha, Tanaya Khan Jha, Dheeraj Kumar, Sheelnidhi",https://m.media-amazon.com/images/M/MV5BOTlhY2Y3YzEtNjRjMy00MTQ5LThkNjUtZTA1NGY1MmI5ODFmXkEyXkFqcGc@._V1_.jpg,7.7,156
1870,tt23128938,Wonder Women,2022,Drama,"Narrates the story of six pregnant women, who arrive at a prenatal class with beliefs, confusion, and questions regarding pregnancy and childbirth.",Anjali Menon,"Nadia Moidu, Nithya Menen, Parvathy Thiruvothu, Padmapriya",https://m.media-amazon.com/images/M/MV5BZTRjYzljYjEtOTE1OC00MGE1LWFhZjQtMWI2ZjM5NmI0Zjc1XkEyXkFqcGc@._V1_.jpg,5.3,449
1871,tt1446071,"Gallit Gondhal, Dillit Mujra",2009,Comedy,"Kolsewadi has never seen any progress in the village, thanks to the bickering and fights between MLA Chandrakant Tope and Sarpanch Bajirao Dole. Narayan Wagh, a villager, makes the most of ...                See full summary »",Nagesh Bhonsle,"Makarand Anaspure, Suzanne Bernert, Nagesh Bhonsle, Ramchandra Dhumal",https://m.media-amazon.com/images/M/MV5BZDk5MDYyYTctNWE0Ni00MzhlLWI5ZGUtOTkwOWZjZGE0MjdiXkEyXkFqcGc@._V1_.jpg,7.6,187
1872,tt0079221,Gol Maal,1979,"Comedy, Romance",A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.,Hrishikesh Mukherjee,"Amol Palekar, Bindiya Goswami, Deven Verma, Shobha Khote",https://m.media-amazon.com/images/M/MV5BNjc2ZGI2MTYtMjkzYi00NjMxLThmMmQtOGVkN2IxMjM4ZjlmXkEyXkFqcGc@._V1_.jpg,8.5,21207
1873,tt0074730,Kabhie Kabhie,1976,"Drama, Romance",Kabhi Kabhie is a movie about the love story of generations and how a chain of events brings together old lovers as friends.,Yash Chopra,"Amitabh Bachchan, Shashi Kapoor, Rakhee Gulzar, Waheeda Rehman",https://m.media-amazon.com/images/M/MV5BMmExYzljNTYtZjM2YS00MjNhLTk4Y2QtMmU3MzU2MDc5NWI3XkEyXkFqcGc@._V1_.jpg,7.1,2504
1874,tt15180374,Mystery of the Tattoo,2023,Thriller,"An art student/therapist befriends her new neighbor. Soon after which she starts experiencing deadly psychological and hallucinating events, only to realize later that they were all a set-up by her neighbor to apprehend an old killer.",Kalaiarasi Sathappan,"Rohit Raaj, Arjun Rampal, Daisy Shah, Manoj Joshi",https://m.media-amazon.com/images/M/MV5BMGJiODBiNTYtNjhiYy00YjM2LWEzZDMtYjczYzFjNzlkMzE4XkEyXkFqcGc@._V1_.jpg,8.9,36
1875,tt22436062,Dhoomam,2023,"Action, Adventure, Drama","Avinash wants to quit his marketing job at a top cigarette company, but it comes with consequences.",Pawan Kumar,"Fahadh Faasil, Roshan Mathew, Aparna Balamurali, Achyuth Kumar",https://m.media-amazon.com/images/M/MV5BOWQ3ZWVjN2YtOWY4NC00MWU2LWI1OTQtNWU5NGI0MjAwOTY5XkEyXkFqcGc@._V1_.jpg,5.7,1300
1876,tt0091328,Karma,1986,"Action, Adventure, Drama",The BSO is a British oriented group who wants to take control of India. When senior police inspector Vishwa Pratap Singh arrests there leader Dr. Michael Dang the authorities blast the jail...                See full summary »,Subhash Ghai,"Dilip Kumar, Nutan, Naseeruddin Shah, Jackie Shroff",https://m.media-amazon.com/images/M/MV5BMjUxM2RhOWItMzUyNS00ZDg4LWE1M2YtZDdjYTMzYmZmYWM5XkEyXkFqcGc@._V1_.jpg,7.2,2514
1877,tt0078204,Satyam Shivam Sundaram: Love Sublime,1978,"Drama, Musical, Romance","Rupa (Zeenat Aman) grew up being cursed as ""unlucky"" in her birth village. Her mother died during childbirth, then a kitchen accident leaves half her face disfigured. This is an artistic ...                See full summary »",Raj Kapoor,"Shashi Kapoor, Zeenat Aman, Kanhaiyalal Chaturvedi, A.K. Hangal",https://m.media-amazon.com/images/M/MV5BZjJmYzU5NDktYzgyYi00NzQ5LWIyMzUtOTNlNjRhYjZlYTEzXkEyXkFqcGc@._V1_.jpg,7,1212
1878,tt0097045,Chandni,1989,"Drama, Musical, Romance",Fate leaves Chandni shattered as her love Rohit disappears from her life. She meets Lalit and they befriend each other until Rohit knocks on her door.,Yash Chopra,"Sridevi, Rishi Kapoor, Vinod Khanna, Waheeda Rehman",https://m.media-amazon.com/images/M/MV5BYjAwNjFmNjktOGIxYy00MGE1LWIzNjYtZGZjOGYyZDZkNWM2XkEyXkFqcGc@._V1_.jpg,6.7,2222
1879,tt13097434,Colour Photo,2020,Drama,A tragic-comedy that is set in the 90s between two different personalities coming from different backgrounds that change their lives in a tale of love.,Sandeep Raj,"Suhas, Chandini Chowdary, Sunil, Harsha Chemudu",https://m.media-amazon.com/images/M/MV5BNWEwNjEzMDktMjAxOS00Mzg0LWJkYjctY2E3MTBhNmMzNjE4XkEyXkFqcGc@._V1_.jpg,8.1,6516
1880,tt5978194,Bhouri,2016,Drama,"A tragic love story of Bhouri, a 23-year old who is married to a 55-year old, the film highlights the exploitation of women in male dominated society.","Jasbir Bhaati, Jasbir R Bhati","Raghubir Yadav, Masha Pour, Kunika Sadanand, Vicky Ahuja",https://m.media-amazon.com/images/M/MV5BZTFjYjVjNjgtNDEwNS00MzNkLWI3YzEtNGIwMDVhY2EyM2I5XkEyXkFqcGc@._V1_.jpg,6.6,596
1881,tt7609114,Yamla Pagla Deewana Phir Se...,2018,"Action, Comedy, Drama",An upright Ayurveda practitioner is hounded by big pharmacy giants for his age-old formula that cures everything.,Navaniat Singh,"Dharmendra, Sunny Deol, Bobby Deol, Kriti Kharbanda",https://m.media-amazon.com/images/M/MV5BMDFmNmY0NGEtOTdmOC00MWY2LWIwZTItZTMwNzZjOTMwZmQ3XkEyXkFqcGc@._V1_.jpg,4.4,1440
1882,tt4467262,Katti Batti,2015,"Comedy, Drama, Romance",A romantic comedy that follows Maddy and Payal's live-in relationship until a sudden turn of events creates a distance between them.,Nikkhil Advani,"Imran Khan, Kangana Ranaut, Abhishek Saha, Suhaas Ahuja",https://m.media-amazon.com/images/M/MV5BMTQ5Mzg4NTUyM15BMl5BanBnXkFtZTgwMTMwNzYyNjE@._V1_.jpg,4.7,3332
1883,tt14188316,Chidiakhana,2023,"Drama, Sport","It is a coming-of-age story of a Bihari boy who is embraced by residents of a Marathi Chawl due to his grit, imagination and especially his footballing skills.",Manish Tiwary,"Ritvik Sahore, Avneet Kaur, Rajeshwari Sachdev, Prashant Narayanan",https://m.media-amazon.com/images/M/MV5BZmI0Zjc2NDktYzExYi00ZjI4LWI0OTEtNjUyMTI3NjgwYzViXkEyXkFqcGc@._V1_.jpg,6.6,525
1884,tt13261780,Hari Singh Nalwa - Champion of the Khalsa Ji,2022,Biography,Add a Plot,Manish Tiwary,"Ritvik Sahore, Avneet Kaur, Rajeshwari Sachdev, Prashant Narayanan",https://m.media-amazon.com/images/M/MV5BYmE5OTg0ZTUtNDM0NC00NzA4LWEzYzktOTkwMmY2ZmQzOTY2XkEyXkFqcGc@._V1_.jpg,9.8,18
1885,tt0857381,I See You,2006,"Comedy, Drama, Fantasy","Dr. Shivani Dutt lives a wealthy lifestyle in London, England with her widowed mom and a dog named Kaali. She works at the Thomwell Hospital. One day she notices that some of her fellow ...                See full summary »",Vivek b Agrawal,"Arjun Rampal, Vipasha Agarwal, Chunky Pandey, Boman Irani",https://m.media-amazon.com/images/M/MV5BOTdkYjEwZGMtYzJhYS00OTU3LWI1ZWYtMWIwNGZiM2U5NDIzXkEyXkFqcGc@._V1_.jpg,4.4,1239
1886,tt0089599,Mirch Masala,1986,"Drama, Thriller","In colonial India, subedars (tax collectors) went from village to village with soldiers, often demanding more than taxes. A subedar commands Sonbai, a beautiful and confident woman whose ...                See full summary »",Ketan Mehta,"Smita Patil, Naseeruddin Shah, Om Puri, Ratna Pathak Shah",https://m.media-amazon.com/images/M/MV5BMTU3MTUyMjI4OF5BMl5BanBnXkFtZTgwNDgxNzE4MDE@._V1_.jpg,7.7,1609
1887,tt0403200,Khilona,1996,"Drama, Romance","After being double crossed by his boss Dabla, Rajkumar takes revenge on him and becomes the ruling Don of the city. His arch enemy, Ronny, carries out several attacks towards him but fails ...                See full summary »",Deepak Pawar,"Aditya Pancholi, Shakti Kapoor, Mohan Joshi, Monica Bedi",https://m.media-amazon.com/images/M/MV5BMjNmMjI2MzQtZjY1Yy00NTVmLWJmODktYmE0M2E1M2Y5NzBmXkEyXkFqcGc@._V1_.jpg,7.1,64
1888,tt0205968,Gharwali Baharwali,1998,Comedy,"On discovery of his spouse's infertility, a man starts a search for a new wife.",David Dhawan,"Anil Kapoor, Raveena Tandon, Rambha, Satish Kaushik",https://m.media-amazon.com/images/M/MV5BMTE0ZWMxYTUtNDI5Yi00ZWYzLWIxZjQtZDEzMTk1ZTJhMGM4XkEyXkFqcGc@._V1_.jpg,4.6,799
1889,tt5637188,Saat Uchakkey,2016,Comedy,"SAAT UCHAKKEY is a comedy caper about 7 petty crooks blundering their way through an exciting gamut of mystery, greed, treachery and running into one riotous crisis after another. Set ...                See full summary »",Sanjeev Sharma,"Manoj Bajpayee, Vijay Raaz, Aditi Sharma, Annu Kapoor",https://m.media-amazon.com/images/M/MV5BMjhiZGI1ZmEtZWM2ZC00YTQzLTg2MDItZjg5ZmJlMDczYTU4XkEyXkFqcGc@._V1_.jpg,5.6,1129
1890,tt0069711,Anamika,1973,"Mystery, Romance, Musical","A writer rescues a young woman lying injured on the road. She awakens with amnesia, but insists that she is the writer's wife. Is she the victim or the perpetrator of a devious plot?",Raghunath Jhalani,"Sanjeev Kumar, Jaya Bachchan, Iftekhar, Govardhan Asrani",https://m.media-amazon.com/images/M/MV5BN2I5ZmYwNDQtNjA1My00YWU1LWI4MjMtZmNhOWQ3MGZmNDBjXkEyXkFqcGc@._V1_.jpg,7.1,401
1891,tt27440937,Weapon,,"Action, Sci-Fi, Thriller",Add a Plot,Guhan Senniappan,"Vasanth Ravi, Shiyas Kareem, Sathyaraj, Tanya Hope",https://m.media-amazon.com/images/M/MV5BMzIxMDkzNjMtYWRjYy00MTFkLTk0M2EtY2Q3ZTEwZTI5MTFhXkEyXkFqcGc@._V1_.jpg,5.9,5465
1892,tt14922300,Collar Bomb,2021,"Action, Thriller","A glorified cop's life is thrown into chaos as he is forced to commit a series of crimes before a suicide bomber blows up a school. As he races against time, he's confronted by an evil that is hell-bent on striking raw, primal terror.",Dnyanesh Zoting,"Jimmy Shergill, Sparsh Srivastav, Rajshri Deshpande, Asha Negi",https://m.media-amazon.com/images/M/MV5BMzM2ODRhYzItMTMzNC00YzZmLTg1N2YtMzg0NmZhNDg2ZGRhXkEyXkFqcGc@._V1_.jpg,5.1,1849
1893,tt0154565,Haqeeqat,1964,"Action, Musical, War",A platoon of Indian soldiers encounters harsh realities while fighting in the Sino-Indian War of 1962.,Chetan Anand,"Balraj Sahni, Dharmendra, Vijay Anand, Indrani Mukherjee",https://m.media-amazon.com/images/M/MV5BYjRlZmQxMjEtZmZkYy00ZWU0LTk2OTQtMzJmZjQ4ZGY2OGY5XkEyXkFqcGc@._V1_.jpg,7.8,576
1894,tt0072064,Rajnigandha,1974,"Drama, Romance",A Delhi-based woman in a steady relationship with her boyfriend is forced to come to terms with her true feelings when a job interview in Mumbai brings an old flame back in her life.,Basu Chatterjee,"Vidya Sinha, Amol Palekar, Dinesh Thakur, Rajeeta Kochhar",https://m.media-amazon.com/images/M/MV5BZDEzYjM3MzEtMzMzNy00YzI3LWI3ZDItODMyMDMyNDVlNDlmXkEyXkFqcGc@._V1_.jpg,7.3,891
1895,tt0248289,Party,1984,Drama,A planned social gathering is held to commemorate Divakar Barve for the award he receive pertaining his contributions to Indian Arts and films. The social event is greeted by some important...                See full summary »,Govind Nihalani,"Deepa Sahi, Ila Arun, Raju Barot, Mohan Bhandari",https://m.media-amazon.com/images/M/MV5BYzM1ODI2YmMtNzA4NS00NzExLWI0NmMtZTBmNmJiMGIxNTc0XkEyXkFqcGc@._V1_.jpg,7.4,672
1896,tt0291883,Ek Ladka Ek Ladki,1992,"Comedy, Romance","An arrogant heiress becomes amnesiac after her greedy uncle attempts to kill her. A hard-working farmer, who bears a grudge against her, impersonates her husband and brings her to his home as revenge.",Vijay Sadanah,"Salman Khan, Neelam Kothari, Anupam Kher, Govardhan Asrani",https://m.media-amazon.com/images/M/MV5BZDJjNWE5MjktYzZhMC00MmYwLTgwZjgtYjM4NGVhYzUzN2Y3XkEyXkFqcGc@._V1_.jpg,5.8,1356
1897,tt0433425,Parzania,2005,"Drama, History","A parsi family struggles to find thier son in a genocide carried out by vested interests outfits during 2002, commonly known as Gujarat riots which broke out after the Godhra Train Burning incident. During riots more than 790 Muslim and 289 Hindus died and around 300 people missing in the Indian state of Gujarat.",Rahul Dholakia,"Naseeruddin Shah, Corin Nemec, Sarika Thakur, Parzaan Dastur",https://m.media-amazon.com/images/M/MV5BMWNmZWY0YzEtMGY5My00ZjBmLTljMmMtNjRlM2IzYWI5NjNkXkEyXkFqcGc@._V1_.jpg,7.5,2506
1898,tt6275262,Vodka Diaries,2018,"Mystery, Thriller","In the misty town of Manali, ACP Ashwini Dixit attempts to solve a series of mysterious murders happening in a single night, which might be connected to the night club, Vodka Diaries.",Kushal Srivastava,"Kay Kay Menon, Raima Sen, Mandira Bedi, Sharib Hashmi",https://m.media-amazon.com/images/M/MV5BMmUzZDY1ODMtMzMxMC00MDIxLWI4NWMtOTA1NTg1NmJiMjVmXkEyXkFqcGc@._V1_.jpg,5.6,1614
1899,tt0359830,Phool Khile Hain Gulshan Gulshan,1978,"Drama, Family","Aware that his grandson has acquired all the bad habits of a rich and spoiled brat, including womanizing and alcohol, Lala Ganpat Rai, instructs his lawyers to make it conditional that he, ...                See full summary »",Sikandar Khanna,"Rishi Kapoor, Moushumi Chatterjee, Ashok Kumar, Amjad Khan",https://m.media-amazon.com/images/M/MV5BNjEzMDczZTktMzZlNS00ODRkLWFhMDktMDIxOGNmYzNiZTk3XkEyXkFqcGc@._V1_.jpg,5.9,86
1900,tt0187279,Meri Biwi Ka Jawab Nahin,2004,"Action, Comedy, Romance",Ajay gets married to his childhood friend Durga; who is illiterate unable to differentiate between the style of these days and that of long time ago. When Ajay is given the post as police ...                See full summary »,"Pankaj Parashar, S.M. Iqbal","Akshay Kumar, Sridevi, Gulshan Grover, Laxmikant Berde",https://m.media-amazon.com/images/M/MV5BZmNmNWY1NTItODcyZS00OTdlLTk0ZmUtNjQxNzBmZjBkY2FlXkEyXkFqcGc@._V1_.jpg,3.5,800
1901,tt0989725,Undertrial,2007,"Crime, Drama","Sagar Hussain, a factory worker, is falsely accused of and imprisoned for raping his own daughters. Later, when his lawyer digs deeper, the truth reveals itself to be much worse than imagined.",Aziz Khan,"Rajpal Naurang Yadav, Kader Khan, Prem Chopra, Pratima Kazmi",https://m.media-amazon.com/images/M/MV5BM2ZkZDI3NDAtYWM2MC00YjUwLWE1NDctYTdjMWM0NWI2ZTgwXkEyXkFqcGc@._V1_.jpg,6.9,346
1902,tt0115484,Agni Sakshi,1996,"Drama, Musical, Romance",Newly married Suraj and Shivangi are on honeymoon where they meet Vishwanath - who claims that Shivangi is his wife.,Partho Ghosh,"Jackie Shroff, Nana Patekar, Manisha Koirala, Divya Dutta",https://m.media-amazon.com/images/M/MV5BNjNhYWEzZTQtZTYyMi00MTNiLWI3ZTUtYjkxZDk3OTdkZDMxXkEyXkFqcGc@._V1_.jpg,6.2,880
1903,tt0360051,Suryaa: An Awakening,1989,"Action, Drama",Shikarpur is ruled by Gangadhar Chaudhary whose known to grab lands of poor farmers and kill them if they don't agree one such victim of his crime is Veer Singh who gets killed leaving his ...                See full summary »,Esmayeel Shroff,"Raaj Kumar, Vinod Khanna, Raj Babbar, Bhanupriya",https://m.media-amazon.com/images/M/MV5BYTYyOTkwNzEtMWRhOC00OWQyLWE3MGQtMjk4NmZjMWE5ODYyXkEyXkFqcGc@._V1_.jpg,6.3,62
1904,tt0118525,...Aur Pyaar Ho Gaya,1997,"Comedy, Drama, Musical","Grandpa and Grandma Kapoor live a wealthy life-style with their only widower son, Kailashnath and his daughter Ashi who is of marriage-able age. Kailashnath arranges his daughter's marriage...                See full summary »",Rahul Rawail,"Bobby Deol, Aishwarya Rai Bachchan, Shammi Kapoor, Anupam Kher",https://m.media-amazon.com/images/M/MV5BMTM0MjQ0MTUwMF5BMl5BanBnXkFtZTcwNTQzMzg2MQ@@._V1_.jpg,4.6,1013
1905,tt4022278,Fever,2016,"Crime, Mystery","An assassin loses his memory in an accident. He wakes up knowing only his name, and a subconscious memory of a crime he has committed.",Rajeev Jhaveri,"Rajeev Khandelwal, Gauahar Khan, Gemma Atkinson, Ankita Makwana",https://m.media-amazon.com/images/M/MV5BY2NjNjgwNzItODU2Yy00MjUwLWEzNTgtN2NiZDlkZmU0Mjc4XkEyXkFqcGdeQXVyMTE5NTIwOTY@._V1_.jpg,4.7,750
1906,tt1664809,Rakhta Charitra,2010,"Action, Biography, Crime",A killer bandit decides to become a politician in order to avenge deaths in his family.,Ram Gopal Varma,"Vivek Oberoi, Shatrughan Sinha, Sudeep, Abhimanyu Singh",https://m.media-amazon.com/images/M/MV5BNDU1NjAxNTMxNF5BMl5BanBnXkFtZTgwNDUzMjk4NTE@._V1_.jpg,7.6,4923
1907,tt6080746,Raag Desh,2017,"Action, Drama, History",A period film based on the historic 1945 Indian National Army Red Fort Trials.,Tigmanshu Dhulia,"Kunal Kapoor, Amit Sadh, Mohit Marwah, Kenneth Desai",https://m.media-amazon.com/images/M/MV5BZjFkZThmMDEtMTQ5ZC00NDQzLWI0NzMtZDVmMzMxNDBhM2NkXkEyXkFqcGc@._V1_.jpg,8.2,419
1908,tt0408126,Pudhiya Geethai,2003,"Action, Drama, Romance","Sarathy is a brilliant and carefree young man who is unaware that an astrologer has predicted his death at the age of 27. Eventually, he comes to loggerheads with Reddiar over a land deal gone bad.",Jagan,"Joseph Vijay, Meera Jasmine, Ameesha Patel, Kalabhavan Mani",https://m.media-amazon.com/images/M/MV5BNGQzNTJiY2QtYWE3Ny00M2EzLWFkMjAtYTAwMzAyMjlhMzlkXkEyXkFqcGc@._V1_.jpg,4.8,1633
1909,tt2423132,Akaash Vani,2013,"Drama, Romance",Follows the love story of a boy and a girl.,Luv Ranjan,"Kartik Aaryan, Nushrratt Bharuccha, Sunny Singh, Gautam Mehra",https://m.media-amazon.com/images/M/MV5BMmI0OGQ3YTUtNGZjYS00YzM1LTg2MGYtNTNhMmViMDRhM2ZlXkEyXkFqcGc@._V1_.jpg,6.4,2320
1910,tt0364466,Kundan,1993,"Action, Drama",Thakur Shamsher Singh lives a wealthy life that is funded chiefly by criminal activities such smuggling and dealing in drugs. He has never been arrested as he has several high-ranking ...                See full summary »,K.C. Bokadia,"Dharmendra, Jaya Prada, Amrish Puri, Farha Naaz",https://m.media-amazon.com/images/M/MV5BZGU5ODM2M2MtYzIyMS00YzhmLWE5MjYtNjA4OWNhNDI1YTZmXkEyXkFqcGc@._V1_.jpg,6.1,62
1911,tt0103709,Apradhi,1992,"Action, Crime, Drama","Satyaprakash is an honest security officer who works at the docks in a small town in India, and lives with his parents, Mr. and Mrs. Vishambernath; wife, Janki, a blind daughter, Munni; and...                See full summary »",K. Ravi Shankar,"Vikas Anand, Aparajita, Arun Bakshi, Rajni Bala",https://m.media-amazon.com/images/M/MV5BNzkyNzI5OTgtZjdkYS00YmZmLWE0YjAtMWY0MGNhN2I0OGNiXkEyXkFqcGc@._V1_.jpg,4.7,66
1912,tt11163028,House Arrest,2019,Comedy,A world-weary man's self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.,"Samit Basu, Shashanka Ghosh","Ali Fazal, Shriya Pilgaonkar, Jim Sarbh, Barkha Singh",https://m.media-amazon.com/images/M/MV5BOTA1YmE5MmMtYjNlNS00NTQzLTgzM2QtNWI0MTY0NTViZWZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,5.5,1829
1913,tt0073034,Garm Hava,1974,Drama,"In post-partition India, a Muslim businessman and his family struggle for their rights in a country which was once their own.",M.S. Sathyu,"Balraj Sahni, A.K. Hangal, Geeta Kak, Jamal Hashmi",https://m.media-amazon.com/images/M/MV5BZDdjYTdjMDgtMThlYi00YjcwLWE2YjUtMTRiZDE3NTI4MmU5XkEyXkFqcGc@._V1_.jpg,8,857
1914,tt0064915,Saat Hindustani,1969,"Action, Adventure, Drama",A woman awaiting surgery recalls her life as a revolutionary along with seven other countrymen.,Khwaja Ahmad Abbas,"Utpal Dutt, Jalal Agha, Anwar Ali, Madhu",https://m.media-amazon.com/images/M/MV5BNTg5NTk4NDgtNmViZS00YTczLTllYTUtZmNkZjI4YmJkZTY0XkEyXkFqcGc@._V1_.jpg,6.4,243
1915,tt2321163,ABCD (Any Body Can Dance),2013,"Drama, Music","When a capable dancer is provoked by the evil design of his employer, naturally he will be out to prove his mettle.",Remo D'Souza,"Prabhu Deva, Ganesh Acharya, Kay Kay Menon, Lauren Gottlieb",https://m.media-amazon.com/images/M/MV5BMTU3NTk0NjE5Nl5BMl5BanBnXkFtZTcwMTU2ODMwOQ@@._V1_.jpg,6.3,7460
1916,tt5005684,Nil Battey Sannata,2015,"Drama, Family",A story about a single woman (a Mom) and dreams on her Daughter.,Ashwiny Iyer Tiwari,"Swara Bhasker, Riya Shukla, Ratna Pathak Shah, Pankaj Tripathi",https://m.media-amazon.com/images/M/MV5BN2Y3MTA0ZjktNWExNC00Yjg4LThmNGMtMGNkMTViMDdhZjYzXkEyXkFqcGc@._V1_.jpg,8.2,8358
1917,tt28476186,Badmaash Babes,2023,Drama,"When the stripper from Alisha's bachelor party is found dead the next morning, the high society lives of best friends Alisha, Maya and Zee go through a roller coaster ride.",Ajay V.,"Bhumika Gurung, Pratibha Phogat, Chandni Srivastava",https://m.media-amazon.com/images/M/MV5BNDBiNWYzYjEtNWZlMS00YWQ2LWJjZTYtOWFkMjY1ZjEwMTkwXkEyXkFqcGc@._V1_.jpg,5.7,37
